# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       9.809080021596e+02       4.675859852869e-02       0.000000000000e+00       2.983524945727e+00       4.825066173885e-08       3.112236729376e-03      -1.443369756165e-05 
    3       9.278192695512e+02       7.331219278658e-02       0.000000000000e+00       3.685952690963e+00       5.981712846170e-08       3.147606760415e-03      -1.737850354185e-05 
    4       8.757573507760e+02       7.872705835576e-02       0.000000000000e+00       3.738699686779e+00       6.985415307812e-08       3.100667910818e-03      -1.707744240993e-05 
    5       8.356030544171e+02       6.643956810752e-02       0.000000000000e+00       3.428083866135e+00       7.867259839178e-08       3.019590981033e-03      -1.454861125516e-05 
    6       8.069968476844e+02       4.653249847170e-02       0.000000000000e+00       2.949022360603e+00       8.644679812306e-08       2.922665563672e-03      -1.070924344205e-05 
    7       7.877464167605e+02       2.818832269607e-02       0.000000000000e+00       2.432903068449e+00       9.335291788577e-08       2.819297867151e-03      -6.435118135714e-06 
    8       7.763892233610e+02       1.589565750115e-02       0.000000000000e+00       1.955752008905e+00       9.949240187815e-08       2.715594936886e-03      -2.463260108028e-06 
    9       7.704578222296e+02       9.708227058670e-03       0.000000000000e+00       1.560384059762e+00       1.049595121933e-07       2.615488487269e-03       6.769785912477e-07 
   10       7.691058974765e+02       7.405978731177e-03       0.000000000000e+00       1.266126353868e+00       1.098658688752e-07       2.520348595425e-03       2.701923397838e-06 
   11       7.710868488991e+02       6.642081903293e-03       0.000000000000e+00       1.073594210343e+00       1.113939546734e-07       2.437446236198e-03       3.563314771956e-06 
   12       7.756033359210e+02       6.057357584935e-03       0.000000000000e+00       9.715005144411e-01       1.152775038361e-07       2.343307368154e-03       3.419930856439e-06 
   13       7.821734817431e+02       5.327760824247e-03       0.000000000000e+00       9.418424456418e-01       1.187760333486e-07       2.262626664060e-03       2.563762992746e-06 
   14       7.905241014745e+02       4.662130114149e-03       0.000000000000e+00       9.631116608721e-01       1.219332746815e-07       2.188109657550e-03       1.311546137509e-06 
   15       8.000813841375e+02       4.299720284925e-03       0.000000000000e+00       1.014418680077e+00       1.247826812291e-07       2.113999681445e-03      -2.290407644196e-08 
   16       8.106365488188e+02       4.283972154993e-03       0.000000000000e+00       1.078989826252e+00       1.273547817584e-07       2.043861533918e-03      -1.175451032362e-06 
   17       8.220065283374e+02       4.497983612154e-03       0.000000000000e+00       1.145194072779e+00       1.296761227817e-07       1.977431693795e-03      -1.984345908901e-06 
   18       8.342905403544e+02       4.795533856134e-03       0.000000000000e+00       1.206061448753e+00       1.317198518390e-07       1.915597637756e-03      -2.389563349181e-06 
   19       8.474081111759e+02       5.147732850502e-03       0.000000000000e+00       1.259927576231e+00       1.336553418224e-07       1.858949025011e-03      -2.405900385385e-06 
   20       8.608174172740e+02       5.569598486614e-03       0.000000000000e+00       1.307040313848e+00       1.353434075624e-07       1.802611082201e-03      -2.135006458132e-06 
   21       8.746474539654e+02       6.127733545886e-03       0.000000000000e+00       1.350032542878e+00       1.368719330008e-07       1.747198063749e-03      -1.684305567947e-06 
   22       8.890178586935e+02       6.903137021666e-03       0.000000000000e+00       1.392647774406e+00       1.382158182808e-07       1.693328295313e-03      -1.197261297490e-06 
   23       9.038633463626e+02       7.912463334620e-03       0.000000000000e+00       1.437122786006e+00       1.394457190850e-07       1.642831373311e-03      -7.703897308896e-07 
   24       9.189352096433e+02       9.143794972341e-03       0.000000000000e+00       1.485042191918e+00       1.405132249165e-07       1.596241619783e-03      -4.846160454492e-07 
   25       9.343202666920e+02       1.057804532907e-02       0.000000000000e+00       1.536618059924e+00       1.414732159303e-07       1.553320394771e-03      -3.644792730986e-07 
   26       9.500909671055e+02       1.219087441102e-02       0.000000000000e+00       1.591049979242e+00       1.423037633421e-07       1.512166045970e-03      -3.996712413516e-07 
   27       9.661916627603e+02       1.397646297598e-02       0.000000000000e+00       1.645900507464e+00       1.430324090323e-07       1.472145172958e-03      -5.580668134556e-07 
   28       9.824706030383e+02       1.593315913755e-02       0.000000000000e+00       1.697933470433e+00       1.436231708414e-07       1.432390152606e-03      -7.866113571390e-07 
   29       9.989826901070e+02       1.806075441543e-02       0.000000000000e+00       1.744916262131e+00       1.441501857730e-07       1.393807873990e-03      -1.042414444818e-06 
   30       1.015771962057e+03       2.035794465977e-02       0.000000000000e+00       1.784580390026e+00       1.446339727120e-07       1.357286685666e-03      -1.272169242309e-06 
   31       1.032809816404e+03       2.282400335986e-02       0.000000000000e+00       1.814618783882e+00       1.449933390379e-07       1.322964811855e-03      -1.416263513801e-06 
   32       1.050111402882e+03       2.546856859078e-02       0.000000000000e+00       1.834236998848e+00       1.452738819726e-07       1.290937989855e-03      -1.464510278877e-06 
   33       1.067644184557e+03       2.830566633341e-02       0.000000000000e+00       1.843188561358e+00       1.455047031943e-07       1.260562275286e-03      -1.429572635130e-06 
   34       1.085327045643e+03       3.135037798401e-02       0.000000000000e+00       1.841463474456e+00       1.456493412973e-07       1.230600584738e-03      -1.333385873892e-06 
   35       1.103167072934e+03       3.461551535641e-02       0.000000000000e+00       1.829548994673e+00       1.457402382077e-07       1.201193879244e-03      -1.199117643849e-06 
   36       1.121158533624e+03       3.811391801423e-02       0.000000000000e+00       1.808292899631e+00       1.457841754245e-07       1.172629288310e-03      -1.057883745099e-06 
   37       1.139271949390e+03       4.185778313351e-02       0.000000000000e+00       1.778572199459e+00       1.457412865069e-07       1.144927097471e-03      -9.443320194794e-07 
   38       1.157561155624e+03       4.585316908311e-02       0.000000000000e+00       1.740319492522e+00       1.456507199440e-07       1.118408631828e-03      -8.680356601010e-07 
   39       1.176084231090e+03       5.010361996794e-02       0.000000000000e+00       1.693183948465e+00       1.455490161238e-07       1.093268634505e-03      -8.295530636474e-07 
